name,logo,mitra_brand_name,location,link
HR Generalist,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c81e2f39-e3a3-440c-a985-5b7b3a226fc0.png,Grosirone,Kab. Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/cb055055-8e0e-430d-bd94-fd6ecc91b523/7b957b18-03be-11ef-a25d-2632d93c8d24
Human Resources Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_76095e96-1da0-4e72-8d42-22af38824cdf.jpg,Samsung Indonesia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1a34c96b-492b-485f-96a3-fd25023957e3/ec6f6e87-fbd3-11ee-b3c3-42bfe4d30846
Human Capital Intern  (Jakarta),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f335a7a3-3b0e-430f-9f38-5e9511f84207.png,Gobel Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/23d6c499-1b8f-477f-be8e-583a7fe73382/4ac6df22-1360-11ef-9941-2e19f6d9dd7b
Human Capital Intern  (Gorontalo),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f335a7a3-3b0e-430f-9f38-5e9511f84207.png,Gobel Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/23d6c499-1b8f-477f-be8e-583a7fe73382/4b7e00ff-062f-11ef-90af-26a5d6fd9662
HR,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Sukoharjo,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/80932379-070e-11ef-87a3-36f764739585
Human Resources,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/928f6553-062b-11ef-90af-26a5d6fd9662
HR Staf,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Batam,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/3db5c751-0494-11ef-9b3e-022ae5f04a49
HR Staff,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Bekasi,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/3fef17b1-063b-11ef-90af-26a5d6fd9662
HR Admin,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/2c95cf5f-061a-11ef-8ce9-8a7c35fd8d18
HR & GA,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/4f050a30-04b0-11ef-8ce9-8a7c35fd8d18
Recruitment,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/c49bfa9a-0611-11ef-8ce9-8a7c35fd8d18
HR Staff,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Tangerang Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/42870705-048f-11ef-8394-36f764739585
Recruitment & Assessment,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Purwakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/6f7b81fc-077a-11ef-8dcc-56f712d85def
Human Resources (HR),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/b4cd5b51-0491-11ef-bb03-ceeddaa1b367
HR Admin Learning & Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/0e1b0610-04a9-11ef-bb7f-6ac06bc5928b
People & Culture Assistant (HR),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cabe3843-a912-4441-bad5-81d1fcc5e418.png,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/80c88ac9-0489-11ef-8394-36f764739585
HR-Analisis Jabatan,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c9022bfc-cd2e-4915-99d7-476ff3a89894.png,SEAMEO CECCEP,Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bc0a0344-431c-41c3-a832-db1c62c31182/75f6daa3-fc66-11ee-be48-1676ae1015eb
HR-Kamus Kompetensi,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c9022bfc-cd2e-4915-99d7-476ff3a89894.png,SEAMEO CECCEP,Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bc0a0344-431c-41c3-a832-db1c62c31182/d377c0c8-fc97-11ee-877d-ee833f3bb5c3
"Admin, HR & Akunting",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7368d7a5-9b30-40c4-a743-ca588be194a2.png,INAmikro,Kota Surakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/25049796-20e7-4ed2-9c64-07913cc432fa/eb60fd7e-fc87-11ee-b3c3-42bfe4d30846
