name,logo,mitra_brand_name,location,link
AIHO - ESG Data Management ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/aff8e054-fdac-11ee-865e-fae64678b8c1
TSO - Data Intelligence Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/67c4ca9c-fba8-11ee-828e-bacafdd728b8
SERA – Data Analyst ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/b43e4abb-fd66-11ee-865e-fae64678b8c1
SERA - Cyber Security Engineering,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/18f50379-fd5c-11ee-8a41-f67d68bd6616
SERA - Cyber Security Operation,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/233c4fcc-fd5b-11ee-8a41-f67d68bd6616
SERA - Visit Application (TRAC),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/c3e5619a-fd80-11ee-865e-fae64678b8c1
SERA - Mobile Developer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/a531be91-fd7d-11ee-865e-fae64678b8c1
SERA - System Analyst ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/a7b566b3-fd7c-11ee-865e-fae64678b8c1
SERA - QA Engineer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/b233c18a-fd7a-11ee-8a41-f67d68bd6616
SERA - Backend Developer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/73daeaa9-fd79-11ee-865e-fae64678b8c1
SERA - Frontend Developer ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/9ab4b536-fd78-11ee-84e0-aec6af48002b
